jaccard,order,Predicted
0.6865671641791045,0,True
0.9361702127659575,1,True
0.5161290322580645,2,True
0.7384615384615385,3,True
0.9545454545454546,4,True
0.7352941176470589,5,True
0.6909090909090909,6,True
0.7528089887640449,7,True
0.9230769230769231,8,True
1.0,9,True
0.9696969696969697,10,True
0.9896907216494846,11,True
0.9577464788732394,12,True
0.0,13,True
0.9384615384615385,14,True
1.0,15,True
0.9215686274509803,16,True
1.0,17,True
0.9538461538461539,18,True
0.0,19,True
0.9402985074626866,20,True
0.9545454545454546,21,True
0.2631578947368421,22,True
0.9814814814814815,23,True
0.85,24,True
1.0,25,True
1.0,26,True
0.9615384615384616,27,True
0.4444444444444444,28,True
0.9134615384615384,29,True
0.9512195121951219,30,True
0.9552238805970149,31,True
0.6842105263157895,32,True
0.9733333333333334,33,True
0.9302325581395349,34,True
0.8571428571428571,35,True
0.9827586206896551,36,True
0.5384615384615384,37,True
0.9384615384615385,38,True
0.978021978021978,39,True
0.9615384615384616,40,True
1.0,41,True
0.7027027027027027,42,True
0.6363636363636364,43,True
0.9743589743589743,44,True
0.8541666666666666,45,True
0.9846153846153847,46,True
0.7407407407407407,47,True
0.9772727272727273,48,True
0.9672131147540983,49,True
0.9895833333333334,50,True
0.6923076923076923,51,True
0.9090909090909091,52,True
0.65625,53,True
0.9436619718309859,54,True
0.35,55,True
0.95,56,True
0.8536585365853658,57,True
0.8636363636363636,58,True
0.9841269841269841,59,True
0.9787234042553191,60,True
0.5862068965517241,61,True
0.9354838709677419,62,True
1.0,63,True
0.7368421052631579,64,True
1.0,65,True
0.9285714285714286,66,True
1.0,67,True
0.9911504424778761,68,True
0.85,69,True
1.0,70,True
0.9259259259259259,71,True
0.0,72,True
0.18518518518518517,73,True
0.625,74,True
0.9555555555555556,75,True
0.9918032786885246,76,True
0.8166666666666667,77,True
0.9545454545454546,78,True
0.9361702127659575,79,True
0.4827586206896552,80,True
0.5476190476190477,81,True
0.9428571428571428,82,True
0.9473684210526315,83,True
0.6153846153846154,84,True
0.9322033898305084,85,True
0.9508196721311475,86,True
0.9583333333333334,87,True
0.5520833333333334,88,True
0.4264705882352941,89,True
0.8,90,True
0.9746835443037974,91,True
1.0,92,True
0.43243243243243246,93,True
1.0,94,True
1.0,95,True
0.5833333333333334,96,True
0.5263157894736842,97,True
1.0,98,True
1.0,99,True
1.0,100,False
